SupplierID,SupplierName,Country,SupplierTier,LeadTimeDays,QualityScore,CostRating,RiskLevel
1,Summit Gear Co.,USA,Premium,5,98,High,Low
2,Alpine Supply,USA,Strategic,7,95,Medium,Low
3,TrailWorks,Vietnam,Cost Leader,18,86,Low,Low
4,Peak Manufacturing,China,Standard,12,90,Medium,Low
5,North Ridge Imports,China,High Risk,25,75,Very Low,High
6,Outdoor Supplier 6,USA,Cost Leader,11,83,Low,Medium
7,Outdoor Supplier 7,Canada,Cost Leader,8,87,High,Medium
8,Outdoor Supplier 8,Mexico,Strategic,7,82,Low,Medium
9,Outdoor Supplier 9,Canada,Standard,15,82,High,Medium
10,Outdoor Supplier 10,Mexico,Standard,18,80,High,Medium
11,Outdoor Supplier 11,Canada,Strategic,16,93,Medium,Medium
12,Outdoor Supplier 12,Canada,Cost Leader,13,80,Medium,Medium
13,Outdoor Supplier 13,Canada,Standard,19,88,Medium,Medium
14,Outdoor Supplier 14,USA,Strategic,8,83,Medium,Medium
15,Outdoor Supplier 15,Mexico,Strategic,19,91,Low,Medium
16,Outdoor Supplier 16,Mexico,Standard,13,94,Low,Medium
17,Outdoor Supplier 17,Mexico,Strategic,16,89,Low,Medium
18,Outdoor Supplier 18,USA,Cost Leader,10,82,Medium,Medium
19,Outdoor Supplier 19,Canada,Standard,13,82,Medium,Medium
20,Outdoor Supplier 20,China,Standard,12,94,Medium,Medium
21,Outdoor Supplier 21,China,Cost Leader,17,86,High,Medium
22,Outdoor Supplier 22,Mexico,Cost Leader,9,82,High,Medium
23,Outdoor Supplier 23,Canada,Strategic,13,87,Medium,Medium
24,Outdoor Supplier 24,China,Standard,10,87,Low,Medium
25,Outdoor Supplier 25,Vietnam,Strategic,8,90,Low,Medium
26,Outdoor Supplier 26,Canada,Cost Leader,14,90,Medium,Medium
27,Outdoor Supplier 27,Canada,Strategic,9,94,Low,Medium
28,Outdoor Supplier 28,Mexico,Strategic,16,88,Medium,Medium
29,Outdoor Supplier 29,Canada,Standard,15,91,Medium,Medium
30,Outdoor Supplier 30,USA,Standard,9,82,High,Medium
31,Outdoor Supplier 31,Vietnam,Cost Leader,8,85,Medium,Medium
32,Outdoor Supplier 32,Mexico,Strategic,15,92,Medium,Medium
33,Outdoor Supplier 33,USA,Cost Leader,15,80,Medium,Medium
34,Outdoor Supplier 34,USA,Strategic,13,90,Low,Medium
35,Outdoor Supplier 35,USA,Cost Leader,18,94,Medium,Medium
36,Outdoor Supplier 36,Mexico,Standard,20,85,High,Medium
37,Outdoor Supplier 37,Mexico,Cost Leader,10,89,Low,Medium
38,Outdoor Supplier 38,Canada,Cost Leader,19,91,High,Medium
39,Outdoor Supplier 39,Mexico,Strategic,14,80,Low,Medium
40,Outdoor Supplier 40,China,Strategic,10,83,Low,Medium
41,Outdoor Supplier 41,Mexico,Standard,8,87,High,Medium
42,Outdoor Supplier 42,USA,Cost Leader,19,95,Low,Medium
43,Outdoor Supplier 43,Vietnam,Cost Leader,9,84,Medium,Medium
44,Outdoor Supplier 44,Canada,Cost Leader,19,93,High,Medium
45,Outdoor Supplier 45,China,Strategic,17,86,High,Medium
46,Outdoor Supplier 46,Vietnam,Cost Leader,14,91,Low,Medium
47,Outdoor Supplier 47,Canada,Standard,12,87,Low,Medium
48,Outdoor Supplier 48,Mexico,Standard,7,87,Low,Medium
49,Outdoor Supplier 49,Canada,Standard,7,81,Medium,Medium
50,Outdoor Supplier 50,Mexico,Standard,11,82,High,Medium
51,Outdoor Supplier 51,Canada,Cost Leader,9,95,High,Medium
52,Outdoor Supplier 52,Canada,Strategic,19,95,Medium,Medium
53,Outdoor Supplier 53,USA,Standard,17,86,Medium,Medium
54,Outdoor Supplier 54,Vietnam,Strategic,14,91,High,Medium
55,Outdoor Supplier 55,USA,Standard,13,81,High,Medium
56,Outdoor Supplier 56,USA,Standard,10,90,Low,Medium
57,Outdoor Supplier 57,Canada,Strategic,9,94,Medium,Medium
58,Outdoor Supplier 58,Canada,Standard,14,94,High,Medium
59,Outdoor Supplier 59,USA,Cost Leader,15,83,Low,Medium
60,Outdoor Supplier 60,Canada,Standard,13,82,Medium,Medium
